City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
104,Bredasdorp,ZA,2020-05-12 21:59:49,-34.53,20.04,57.2,82,40,16.11,scattered clouds,0,0
105,Sao Felix Do Xingu,BR,2020-05-12 21:59:49,-6.64,-51.99,76.6,83,1,2.66,clear sky,0,0
106,San Cristobal,VE,2020-05-12 21:59:49,7.77,-72.22,91.4,52,40,12.75,haze,0,0
107,Shubarkuduk,KZ,2020-05-12 21:59:49,49.14,56.49,51.06,69,12,3.42,few clouds,0,0
108,Sillod,IN,2020-05-12 21:59:50,20.3,75.65,83.75,27,52,4.68,broken clouds,0,0
109,Presidencia Roque Saenz Pena,AR,2020-05-12 21:59:50,-26.79,-60.44,68.54,69,100,7.16,overcast clouds,0,0
110,Tuktoyaktuk,CA,2020-05-12 21:59:50,69.45,-133.04,19.4,79,40,24.16,scattered clouds,0,0
111,Pershotravneve,UA,2020-05-12 21:59:50,51.39,28.87,35.78,82,0,6.85,clear sky,0,0
112,Lebu,CL,2020-05-12 21:59:50,-37.62,-73.65,54.25,80,0,11.88,clear sky,0,0
113,Bambous Virieux,MU,2020-05-12 21:59:51,-20.34,57.76,73.4,60,40,8.05,scattered clouds,0,0
114,Qitaihe,CN,2020-05-12 21:59:51,45.8,130.85,44.89,67,30,8.77,scattered clouds,0,0
115,Oyem,GA,2020-05-12 21:59:51,1.6,11.58,68.94,98,100,1.86,light rain,0,0
116,Labrea,BR,2020-05-12 21:59:51,-7.26,-64.8,81.7,80,77,1.57,broken clouds,0,0
117,Belaya Gora,RU,2020-05-12 21:59:51,68.53,146.42,35.46,99,79,5.12,broken clouds,0,0
118,College,US,2020-05-12 21:59:51,64.86,-147.8,57.0,66,75,5.21,broken clouds,0,0
119,Kodiak,US,2020-05-12 21:59:51,57.79,-152.41,50.0,66,90,8.05,overcast clouds,0,0
120,Arraial Do Cabo,BR,2020-05-12 21:57:41,-22.97,-42.03,75.2,69,20,16.11,few clouds,0,0
121,Sao Joao Da Barra,BR,2020-05-12 21:59:52,-21.64,-41.05,75.2,73,0,9.17,clear sky,0,0
122,Cayenne,GF,2020-05-12 21:59:52,4.93,-52.33,77.0,100,75,4.7,broken clouds,0,0
123,Haslett,US,2020-05-12 21:58:38,42.75,-84.4,57.2,20,1,12.75,clear sky,0,0
124,Vanimo,PG,2020-05-12 21:59:52,-2.67,141.3,80.94,79,32,3.22,light rain,0,0
125,Celendin,PE,2020-05-12 21:59:52,-6.87,-78.15,64.18,64,22,3.89,light rain,0,0
126,Saint Anthony,US,2020-05-12 21:59:53,45.02,-93.22,60.01,17,1,4.7,clear sky,0,0
127,Mani,CO,2020-05-12 21:59:53,4.82,-72.29,83.98,81,75,3.47,light rain,0,0
128,Mendi,PG,2020-05-12 21:59:53,-6.18,143.65,60.37,89,65,0.27,broken clouds,0,0
129,Chokurdakh,RU,2020-05-12 21:59:53,70.63,147.92,33.64,100,75,6.31,broken clouds,0,0
130,Porto Velho,BR,2020-05-12 21:55:07,-8.76,-63.9,82.4,83,40,5.82,light rain,0,0
131,Del Pilar,PH,2020-05-12 21:59:53,15.03,120.7,80.6,83,40,2.24,scattered clouds,0,0
132,Moree,AU,2020-05-12 21:59:53,-29.47,149.85,50.0,81,90,8.7,overcast clouds,0,0
133,Tasiilaq,GL,2020-05-12 21:59:53,65.61,-37.64,35.6,64,6,17.22,clear sky,0,0
134,Los Llanos De Aridane,ES,2020-05-12 21:59:54,28.66,-17.92,68.0,68,84,3.36,broken clouds,0,0
135,Georgetown,MY,2020-05-12 21:57:33,5.41,100.34,78.8,94,20,10.42,few clouds,0,0
136,Jining,CN,2020-05-12 21:59:54,35.41,116.58,58.89,67,82,11.39,broken clouds,0,0
137,Ambanja,MG,2020-05-12 21:59:54,-13.68,48.45,75.06,86,83,0.58,broken clouds,0,0
138,Lata,PT,2020-05-12 21:59:55,40.16,-8.33,59.0,90,18,2.06,few clouds,0,0
139,San Patricio,MX,2020-05-12 21:59:55,19.22,-104.7,86.0,79,20,11.41,few clouds,0,0
140,Elizabeth City,US,2020-05-12 21:55:23,36.29,-76.25,66.0,31,20,9.17,few clouds,0,0
141,Victoria,HK,2020-05-12 21:59:55,22.29,114.16,80.01,78,33,6.29,light rain,0,0
