City_ID,City,Country,Max Temp,description,Lat,Lng,Hotel Name
155,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
158,Sitka,US,57.2,clear sky,57.05,-135.33,Westmark Sitka
160,Adjumani,UG,68.7,light rain,3.38,31.79,Hotel Zawadi
163,Hervey Bay,AU,63.0,broken clouds,-25.3,152.85,Shelly Bay Resort
164,Chicama,PE,74.64,scattered clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
165,Faya,SA,71.6,clear sky,18.39,42.45,مقبرة ال مجمل
166,Airai,TL,56.82,broken clouds,-8.93,125.41,Juvinal Martin
169,Colares,PT,61.0,few clouds,38.8,-9.45,Arribas Sintra Hotel
172,Lujan,AR,59.0,clear sky,-34.57,-59.1,Hotel Biarritz
173,Valparaiso,CL,57.2,overcast clouds,-33.04,-71.63,Hotel Ultramar
174,Palmas De Monte Alto,BR,72.27,few clouds,-14.27,-43.16,RAVENA AUTO POSTO LTDA
180,Gamboma,CG,71.85,broken clouds,-1.88,15.86,Hotel Vianette
181,Trapani,IT,69.01,clear sky,37.83,12.67,
182,Ponta Do Sol,PT,68.0,few clouds,32.67,-17.1,Hotel do Campo
184,Borovskoy,KZ,59.86,overcast clouds,53.8,64.15,
191,La Ronge,CA,55.4,few clouds,55.1,-105.28,Northland Motor Hotel
193,Port Hueneme,US,69.01,overcast clouds,34.15,-119.2,Hampton Inn Channel Islands Harbor
196,Coolum Beach,AU,57.99,broken clouds,-26.53,153.1,Coolum Beach Resort
197,Ribeira Grande,PT,59.97,broken clouds,38.52,-28.7,Quinta da Meia Eira
199,Ballina,AU,57.0,scattered clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
200,Cullera,ES,63.0,light rain,39.17,-0.25,Hotel Santamarta
201,Basoko,CD,73.85,scattered clouds,1.24,23.62,Flat Hotel La Benediction
205,Urbana,US,62.01,few clouds,40.11,-88.21,"Comfort Suites Urbana Champaign, University Area"
208,Antofagasta,CL,62.6,few clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
213,Beloha,MG,63.91,few clouds,-25.17,45.05,
214,Port Elizabeth,ZA,62.6,light rain,-33.92,25.57,39 On Nile Guest House
216,Derzhavinsk,KZ,62.17,light rain,51.1,66.32,Ooo.khim Baza
217,Calama,CL,68.0,clear sky,-22.47,-68.93,Park Hotel Calama
221,Gat,IL,71.01,clear sky,31.61,34.76,אהבה ברווחה
235,Ngunguru,NZ,62.01,light rain,-35.62,174.5,Pacific Rendezvous Motel Resort
237,Ahipara,NZ,62.92,overcast clouds,-35.17,173.17,Ahipara Holiday Park
238,Haines Junction,CA,70.2,clear sky,60.75,-137.51,Parkside Inn
239,Kukushtan,RU,55.4,overcast clouds,57.65,56.5,
240,Hasaki,JP,69.01,few clouds,35.73,140.83,Inubosaki Kanko Hotel
243,Emerald,AU,57.99,few clouds,-23.53,148.17,The Irish Village
244,Kamenka,RU,63.0,overcast clouds,51.32,42.77,
246,Astaneh-Ye Ashrafiyeh,IR,57.92,clear sky,37.26,49.94,parking & soiet shafiee
247,Blackwater,AU,63.41,clear sky,-23.58,148.88,Blackwater Motor Inn
248,Bordighera,IT,62.6,scattered clouds,43.78,7.66,Kaly
253,Krapivinskiy,RU,57.2,clear sky,55.0,86.81,
255,Khuzdar,PK,72.93,clear sky,27.74,66.64,jhalwan Rent A Car Compny Moola Chotok
257,Caravelas,BR,73.62,clear sky,-17.71,-39.25,Pousada dos Navegantes
259,Camana,PE,67.24,few clouds,-16.62,-72.71,Hostal Morales
262,Opuwo,,64.76,scattered clouds,-18.06,13.84,ABBA Guesthouse
264,San Quintin,MX,69.87,clear sky,30.48,-115.95,Old Mill Hotel
265,Tongling,CN,63.88,overcast clouds,30.95,117.78,Anhui Tongquetai New Century International Hotel
267,Shingu,JP,64.49,clear sky,33.73,135.98,Shingu UI Hotel
268,Suamico,US,57.0,clear sky,44.63,-88.04,"Country Inn & Suites by Radisson, Green Bay North, WI"
272,Dharchula,IN,58.75,overcast clouds,29.85,80.53,Mahara Hotel
273,Nouakchott,MR,73.4,clear sky,18.09,-15.98,Hôtel Iman
274,Lesnoy,RU,59.29,broken clouds,57.62,63.08,
278,Ketchikan,US,64.4,clear sky,55.34,-131.65,Snows Cove Lodge
285,Tocopilla,CL,65.21,few clouds,-22.09,-70.2,Hotel Galvarino
289,Bongandanga,CD,71.85,clear sky,1.5,21.05,
291,Katsuura,JP,69.01,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
292,Sao Domingos,BR,71.04,clear sky,-13.4,-46.32,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
295,Bastia,FR,64.4,broken clouds,42.67,9.33,Hotel Santa Maria
296,Fort Saint James,CA,68.23,clear sky,54.43,-124.25,The View Hotel
298,Talara,PE,72.5,clear sky,-4.58,-81.27,Hostal Oro Negro
299,Senanga,ZM,61.93,clear sky,-16.12,23.27,Christopher Nasilele House
300,Grand Gaube,MU,72.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
307,Tongzi,CN,65.03,overcast clouds,28.78,105.09,
310,Puqi,CN,62.64,overcast clouds,29.72,113.88,Ramada Plaza Chibi
311,Otavi,,60.13,few clouds,-19.65,17.33,Stop 'n Stay Otavi Rest Camp
312,Mpika,ZM,59.63,broken clouds,-11.83,31.45,Melodies Lodge
314,Bereda,ES,55.0,overcast clouds,43.27,-7.54,Pazo de Verdes
317,Brusque,BR,72.0,overcast clouds,-27.1,-48.92,Monthez Hotel e Eventos
318,Novoagansk,RU,62.85,broken clouds,61.94,76.66,
321,Sikonge,TZ,68.0,few clouds,-5.63,32.77,Daukilo Lodge
324,Alanya,TR,69.67,clear sky,36.54,32.0,Panorama Hotel
330,Lagoa,PT,58.89,scattered clouds,39.05,-27.98,Casa Das Faias
331,Grimshaw,CA,59.0,few clouds,56.18,-117.6,Pomeroy Inn & Suites Grimshaw
332,Teguise,ES,69.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
334,Aleksandrov Gay,RU,55.83,clear sky,50.15,48.57,
336,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
337,Castro,BR,60.46,overcast clouds,-24.79,-50.01,CHACARA BAILLY
340,Sakaiminato,JP,62.6,broken clouds,35.55,133.23,味処・民宿 まつや
342,Klyuchi,RU,65.23,scattered clouds,52.27,79.17,Vesolaya Mayovka
